CustomerId,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited,Surname,CreditScore,Gender,Age,EstimatedSalary,zip_state,zip_city,zip_latitude,zip_longitude,churn_prob
15634602,2,0.0,1,1,1,1,Hargrave,619,Female,42,101348.88,PR,Aguadilla,18.498987,-67.13699,0.12535946542615206
15647311,1,83807.86,1,0,1,0,Hill,608,Female,41,112542.58,PR,Aguadilla,18.498987,-67.13699,0.177079968836292
15619304,8,159660.8,3,1,0,1,Onio,502,Female,42,113931.57,PR,Arecibo,18.449732,-66.69879,0.4660799688442691
15701354,1,0.0,2,0,0,0,Boni,699,Female,39,93826.63,PR,Arecibo,18.449732,-66.69879,0.2440998816658753
15737888,2,125510.82,1,1,1,0,Mitchell,850,Female,43,79084.1,PR,Arecibo,18.449732,-66.69879,0.1980875230820069
15574012,8,113755.78,2,1,0,1,Chu,645,Male,44,149756.71,PR,Arecibo,18.449732,-66.69879,0.3091916130516128
15592531,7,0.0,2,1,1,0,Bartlett,822,Male,50,10062.8,PR,Arecibo,18.458093,-66.732732,0.10064109486284513
15656148,4,115046.74,4,1,0,1,Obinna,376,Female,29,119346.88,PR,Arecibo,18.458093,-66.732732,0.23134403266421186
15792365,4,142051.07,2,0,1,0,He,501,Male,44,74940.5,PR,Arecibo,18.458093,-66.732732,0.1685445249493228
15592389,2,134603.88,1,1,1,0,H?,684,Male,27,71725.73,PR,Utuado,18.268896,-66.70519,0.049422940449798294
15767821,6,102016.72,2,0,0,0,Bearce,528,Male,31,80181.12,PR,Utuado,18.268896,-66.70519,0.15311689459698624
15737173,3,0.0,2,1,0,0,Andrews,497,Male,24,76390.01,PR,Utuado,18.268896,-66.70519,0.06287650421475884
15632264,10,0.0,2,1,0,0,Kay,476,Female,34,26260.98,PR,Manati,18.426137,-66.48697,0.1759191383006073
15691483,5,0.0,2,0,0,0,Chin,549,Female,25,190857.79,PR,Manati,18.426137,-66.48697,0.11272524834814775
15600882,7,0.0,2,1,1,0,Scott,635,Female,35,65951.65,PR,Mayaguez,18.219023,-67.508068,0.06975443357279922
15643966,3,143129.41,2,0,1,0,Goforth,616,Male,45,64327.26,PR,Mayaguez,18.219023,-67.508068,0.17033761773025896
15737452,1,132602.88,1,1,0,1,Romeo,653,Male,58,5097.67,PR,Vega Baja,18.440667,-66.3921,0.5922377379713779
15788218,9,0.0,2,1,1,0,Henderson,549,Female,24,14406.41,PR,Vega Baja,18.440667,-66.3921,0.032577303366586416
15661507,6,0.0,1,0,0,0,Muldrow,587,Male,45,158684.81,PR,Aibonito,18.12942,-66.26541,0.2372020759129516
15568982,6,0.0,2,1,1,0,Hao,726,Female,24,54724.03,PR,Maunabo,18.014505,-65.91018,0.03100090098408546
15577657,8,0.0,2,1,1,0,McDonald,732,Male,41,170886.17,PR,Caguas,18.233927,-66.04502,0.061693770777522486
15597945,8,0.0,2,1,0,0,Dellucci,636,Female,32,138555.46,PR,Caguas,18.233927,-66.04502,0.15329384175778576
15699309,4,0.0,1,1,0,1,Gerasimov,510,Female,38,118913.53,PR,Caguas,18.233927,-66.04502,0.24891565002191066
15725737,3,0.0,2,0,1,0,Mosman,669,Male,46,8487.75,PR,Caguas,18.233927,-66.04502,0.09155475713396691
15625047,5,0.0,1,1,1,0,Yen,846,Female,38,187616.16,PR,Caguas,18.233927,-66.04502,0.08445508682211578
15738191,3,0.0,2,0,1,0,Maclean,577,Male,25,124508.29,PR,Ponce,18.022626,-66.61727,0.023956001211218984
15736816,2,136815.64,1,1,1,0,Young,756,Male,36,170041.95,PR,Ponce,18.019331,-66.619165,0.09214833974833085
15700772,9,0.0,2,0,0,0,Nebechi,571,Male,44,38433.35,PR,Ponce,18.019331,-66.619165,0.20251126589827723
15728693,3,141349.43,1,1,1,0,McWilliams,574,Female,43,100187.43,PR,Ponce,18.019331,-66.619165,0.24184144588356388
15656300,0,59697.17,2,1,1,0,Lucciano,411,Male,29,53483.21,PR,Ponce,18.019331,-66.619165,0.04623729535464502
15589475,3,0.0,3,1,0,1,Azikiwe,591,Female,39,140469.38,PR,Ponce,18.019331,-66.619165,0.2439298005914147
15706552,7,85311.7,1,0,1,0,Odinakachukwu,533,Male,36,156731.91,PR,Ponce,18.019331,-66.619165,0.07919979252595873
15750181,9,110112.54,2,0,0,0,Sanderson,553,Male,41,81898.81,PR,Ponce,18.019331,-66.619165,0.26886314089613966
15659428,6,0.0,2,1,1,0,Maggard,520,Female,42,34410.55,PR,San Lorenzo,18.15633,-65.96831,0.11853347119261763
15732963,9,0.0,2,1,1,0,Clements,722,Female,29,142033.07,PR,San Lorenzo,18.15633,-65.96831,0.04411032358655005
15794171,0,134264.04,1,1,0,1,Lombardo,475,Female,45,27822.99,PR,San Lorenzo,18.15633,-65.96831,0.5297954370749444
15788448,3,145260.23,1,0,1,0,Watson,490,Male,31,114066.77,PR,La Plata,18.128092,-66.268717,0.07947112164568845
15729599,7,76548.6,1,0,1,0,Lorenzo,804,Male,33,98453.45,PR,La Plata,18.128092,-66.268717,0.05108564949429076
15717426,7,0.0,1,1,1,0,Armstrong,850,Male,36,40812.9,PR,La Plata,18.128092,-66.268717,0.04003797606291169
15585768,6,70349.48,2,0,1,0,Cameron,582,Male,41,178074.04,PR,Humacao,18.147257,-65.82269,0.09910602979737772
15619360,4,0.0,1,1,0,0,Hsiao,472,Male,40,70154.22,PR,Humacao,18.147257,-65.82269,0.18226418424579635
15738148,8,122522.32,1,0,0,1,Clarke,465,Female,51,181297.65,PR,Humacao,18.147257,-65.82269,0.6204741026613757
